sofifa_id,short_name,height_cm,nationality,club,overall,player_positions
200536,N. Schulz,181,Germany,Borussia Dortmund,82,"LWB, LM, LB"
200610,K. Volland,179,Germany,Bayer 04 Leverkusen,82,"ST, RW, LW"
200724,Nacho Fernández,180,Spain,Real Madrid,82,"CB, LB, RB"
201305,Gabriel Paulista,187,Brazil,Valencia CF,82,CB
202562,J. Roussillon,175,France,VfL Wolfsburg,82,LB
203263,H. Maguire,194,England,Manchester United,82,CB
203486,T. Hazard,175,Belgium,Borussia Dortmund,82,"RM, LM, CF"
208448,E. Forsberg,179,Sweden,RB Leipzig,82,"CAM, LM"
208574,F. Kostić,184,Serbia,Eintracht Frankfurt,82,"LM, LWB"
216409,M. Politano,171,Italy,Inter,82,"RM, ST"
216547,Rafa,172,Portugal,SL Benfica,82,"LM, RM"
24630,Pepe Reina,188,Spain,Milan,82,GK
53302,D. De Rossi,184,Italy,Boca Juniors,82,CDM
106231,Aduriz,182,Spain,Athletic Club de Bilbao,82,ST
146536,Jesús Navas,170,Spain,Sevilla FC,82,"RM, RB"
146562,Santi Cazorla,168,Spain,Villarreal CF,82,"CM, CDM, LM"
156519,H. Herrera,185,Mexico,Atlético Madrid,82,CM
158963,L. Biglia,178,Argentina,Milan,82,"CDM, CM"
164835,L. Fabiański,190,Poland,West Ham United,82,GK
168354,E. Viviano,195,Italy,Sporting CP,82,GK
178088,Juan Mata,170,Spain,Manchester United,82,"CAM, RM"
178509,O. Giroud,193,France,Chelsea,82,ST
179645,S. Kjær,191,Denmark,Sevilla FC,82,CB
180403,Willian,175,Brazil,Chelsea,82,"RW, LW"
181786,V. Ćorluka,192,Croatia,Lokomotiv Moscow,82,CB
184200,M. Arnautović,192,Austria,Shanghai SIPG FC,82,ST
184941,A. Sánchez,169,Chile,Manchester United,82,"LW, LM"
184942,Giuliano,172,Brazil,Al Nassr,82,CAM
185103,A. Kolarov,187,Serbia,Roma,82,LB
186627,M. Balotelli,189,Italy,Brescia,82,ST
187754,Marlos,174,Ukraine,Shakhtar Donetsk,82,"RM, CAM"
188803,Taison,172,Brazil,Shakhtar Donetsk,82,"CAM, LM"
189068,B. Dost,196,Netherlands,Sporting CP,82,ST
189125,G. Bonaventura,181,Italy,Milan,82,"CM, LW"
189505,Pedro,169,Spain,Chelsea,82,"RW, LW"
189805,L. de Jong,188,Netherlands,Sevilla FC,82,ST
190813,S. El Shaarawy,178,Italy,Shanghai Greenland Shenhua FC,82,LW
191740,Ander Herrera,182,Spain,Paris Saint-Germain,82,"CM, CDM"
193348,X. Shaqiri,169,Switzerland,Liverpool,82,"RW, RM"
193525,Mário Fernandes,187,Russia,PFC CSKA Moscow,82,"RWB, RM"
197655,S. Coates,196,Uruguay,Sporting CP,82,CB
198951,C. Bakambu,182,DR Congo,Beijing Sinobo Guoan FC,82,ST
202371,T. Meunier,191,Belgium,Paris Saint-Germain,82,"RB, RM"
202857,K. Bellarabi,184,Germany,Bayer 04 Leverkusen,82,RW
207494,J. Lingard,175,England,Manchester United,82,"CAM, RW"
208808,Q. Promes,174,Netherlands,Ajax,82,"LW, RW"
208830,J. Vardy,179,England,Leicester City,82,ST
215333,D. Zapata,189,Colombia,Atalanta,82,ST
216475,Morales,180,Spain,Levante UD,82,"ST, LM"
230168,Raphaelito Anjos,190,Brazil,Grêmio,82,GK
230225,Juiano Mestres,181,Brazil,Cruzeiro,82,"CB, CDM"
230258,Rosberto Dourado,175,Brazil,Atlético Mineiro,82,"CDM, CM, CAM"
245309,E. Schetino,185,Uruguay,Uruguay,82,CB
245313,J. Sildero,177,Uruguay,Uruguay,82,"CAM, RM"
231478,L. Martínez,174,Argentina,Inter,81,ST
234906,H. Aouar,175,France,Olympique Lyonnais,81,CM
235569,T. Ndombele,181,France,Tottenham Hotspur,81,"CM, CDM"
240130,Éder Militão,186,Brazil,Real Madrid,81,"CB, RB"
205659,A. Cragno,184,Italy,Cagliari,81,GK
221363,D. van de Beek,184,Netherlands,Ajax,81,"CAM, CM"
221660,V. Lindelöf,187,Sweden,Manchester United,81,CB
222509,Dani Ceballos,179,Spain,Arsenal,81,"CM, LM, CDM"
226456,Pablo Fornals,178,Spain,West Ham United,81,"CAM, CM, LM"
208333,E. Can,184,Germany,Juventus,81,"CM, CDM"
211688,Gayà,172,Spain,Valencia CF,81,LB
236632,David Neres,175,Brazil,Ajax,81,"LW, RW, CAM"
210406,P. Zieliński,180,Poland,Napoli,81,"CM, LM"
215316,G. Rulli,189,Argentina,Montpellier HSC,81,GK
199503,G. Xhaka,185,Switzerland,Arsenal,81,"CM, CDM"
201400,Rafinha,174,Brazil,FC Barcelona,81,"CAM, CM, RW"
201455,G. Kondogbia,188,Central African Rep.,Valencia CF,81,"CM, CDM"
204923,M. Sabitzer,177,Austria,RB Leipzig,81,"CAM, CM"
205988,L. Shaw,181,England,Manchester United,81,LB
207877,J. Martínez,170,Venezuela,Atlanta United,81,ST
208135,A. Doucouré,184,France,Watford,81,"CDM, CM"
226790,W. Ndidi,183,Nigeria,Leicester City,81,"CDM, CM"
200316,T. Horn,192,Germany,1. FC Köln,81,GK
204638,W. Orban,186,Hungary,RB Leipzig,81,CB
206467,A. Plea,181,France,Borussia Mönchengladbach,81,"ST, LW"
207791,Y. Poulsen,193,Denmark,RB Leipzig,81,ST
207807,R. Fraser,163,Scotland,Bournemouth,81,LM
207862,M. Ginter,191,Germany,Borussia Mönchengladbach,81,"CB, CDM"
209889,R. Guerreiro,170,Portugal,Borussia Dortmund,81,"LM, LB, CM"
212814,João Mário,179,Portugal,Inter,81,"CAM, CM"
213874,Thiago Mendes,177,Brazil,Olympique Lyonnais,81,"CDM, CM"
216145,A. Izzo,183,Italy,Torino,81,CB
216352,M. Brozović,181,Croatia,Inter,81,"CDM, CM"
190544,A. Ljajić,182,Serbia,Beşiktaş JK,81,"CAM, LW"
193165,J. Corona,173,Mexico,FC Porto,81,"RM, RB"
199575,Jordi Masip,180,Spain,Real Valladolid CF,81,GK
204120,T. Vaclík,188,Czech Republic,Sevilla FC,81,GK
206304,L. Milivojević,186,Serbia,Crystal Palace,81,"CDM, CM"
208093,Gerard Moreno,180,Spain,Villarreal CF,81,"ST, CF"
223689,W. Weghorst,197,Netherlands,VfL Wolfsburg,81,ST
20775,Quaresma,175,Portugal,Beşiktaş JK,81,"RM, LM"
112316,J. Mathieu,189,France,Sporting CP,81,CB
138412,J. Milner,175,England,Liverpool,81,"CM, LB"
142707,L. López,174,Argentina,Racing Club,81,ST
159145,B. Gomis,184,France,Al Hilal,81,ST
162240,M. Dembélé,185,Belgium,Guangzhou R&F FC,81,"CM, CAM, CDM"
162895,Cesc Fàbregas,179,Spain,AS Monaco,81,"CM, CDM"
163489,A. Consigli,189,Italy,Sassuolo,81,GK
165229,L. Koscielny,186,France,FC Girondins de Bordeaux,81,CB
168530,Jardel,192,Brazil,SL Benfica,81,CB
169195,Renato Augusto,186,Brazil,Beijing Sinobo Guoan FC,81,"CM, CAM, CDM"
171791,José Fonte,187,Portugal,LOSC Lille,81,CB
171897,A. Guardado,169,Mexico,Real Betis,81,"CM, CDM, LM"
173771,L. Piszczek,184,Poland,Borussia Dortmund,81,RB
176600,K. Gameiro,172,France,Valencia CF,81,ST
177388,D. Payet,175,France,Olympique de Marseille,81,"CAM, LW"
177600,Beñat,177,Spain,Athletic Club de Bilbao,81,CM
178086,Adán,190,Spain,Atlético Madrid,81,GK
179784,B. Höwedes,188,Germany,Lokomotiv Moscow,81,"CB, LB"
182494,F. Muslera,190,Uruguay,Galatasaray SK,81,GK
183394,M. Sissoko,187,France,Tottenham Hotspur,81,"CM, CDM"
183498,M. Parolo,184,Italy,Lazio,81,"CDM, CM"
184134,Fernando,183,Brazil,Sevilla FC,81,"CDM, CM"
184144,N. Gaitán,173,Argentina,Chicago Fire,81,CAM
184431,S. Giovinco,163,Italy,Al Hilal,81,"CF, ST, RM"
185221,Luiz Gustavo,187,Brazil,Olympique de Marseille,81,"CDM, CB"
188829,N. Nkoulou,184,Cameroon,Torino,81,CB
191202,N. Matić,194,Serbia,Manchester United,81,"CDM, CM"
192638,Marcos Alonso,188,Spain,Chelsea,81,"LB, LWB"
192883,H. Mkhitaryan,177,Armenia,Arsenal,81,"RM, CAM, RW"
194022,André Almeida,185,Portugal,SL Benfica,81,RB
203551,A. Florenzi,173,Italy,Roma,81,"RB, RW, LW"
204399,E. Zahavi,182,Israel,Guangzhou R&F FC,81,"CF, ST"
207471,F. Vázquez,186,Argentina,Sevilla FC,81,"CM, CAM"
208618,Lucas Vázquez,173,Spain,Real Madrid,81,"RW, RM"
216194,Dani García,180,Spain,Athletic Club de Bilbao,81,"CM, CDM"
224334,M. Acuña,172,Argentina,Sporting CP,81,"LW, LB"
230271,Laure Santeiro,171,Brazil,Fluminense,81,"CAM, LM, LW"
245299,J. Frendado,181,Uruguay,Uruguay,81,"CB, CDM"
245304,S. Ardero,171,Uruguay,Uruguay,81,"CAM, LM, LW"
245305,L. Dálves,188,Uruguay,Uruguay,81,"ST, CF"
251700,S. Mandíquez,188,Ecuador,Ecuador,81,ST
242444,João Félix,181,Portugal,Atlético Madrid,80,"CF, ST"
224232,N. Barella,175,Italy,Inter,80,"CM, CAM"
225100,J. Gomez,188,England,Liverpool,80,"CB, RB"
213661,A. Christensen,187,Denmark,Chelsea,80,CB
215698,M. Maignan,191,France,LOSC Lille,80,GK
216393,Y. Tielemans,176,Belgium,Leicester City,80,"CM, CDM"
229668,Mario Hermoso,184,Spain,Atlético Madrid,80,CB
234153,Carlos Soler,180,Spain,Valencia CF,80,"RM, CM"
220477,M. Caldara,187,Italy,Milan,80,CB
222400,H. Winks,176,England,Tottenham Hotspur,80,"CM, CDM"
223113,K. Piątek,183,Poland,Milan,80,ST
224458,Diogo Jota,178,Portugal,Wolverhampton Wanderers,80,"CF, LW"
226161,Marcos Llorente,184,Spain,Atlético Madrid,80,CDM
228618,F. Mendy,180,France,Real Madrid,80,LB
